Product ID (#) *1,Name,$ Price:,Quantity,Category,Description,Production Date (DD/MM/YYYY),Expiration Date (DD/MM/YYYY),Rating:,Status
14,Кровяная колбаса,8199,361,Мясо,"Помогает поддерживать нормальный уровень нарингина, флавоноида, полезного для снижения уровня холестерина и улучшения пищеварения.",2009-01-03,2029-02-01,0.65,Awaiting Payment
15,Айран,4679,845,Молочные продукты,"Помогает поддерживать нормальный уровень даидзеина, изофлавона, полезного для здоровья женщин во время менопаузы.",2012-02-11,2025-02-10,3.65,Awaiting Review
16,Капуста белокочанная,9955,970,Овощи,"Обладает антиоксидантными свойствами, защищающими клетки от повреждений.",2000-03-01,2014-07-09,1.56,Out of Stock
17,Гауда,150,646,Молочные продукты,"Отличается высоким содержанием антиоксидантов, защищающих клетки от окислительного стресса.",2013-01-18,2018-04-01,4.74,Sold
18,Адлеркурортная,4247,22,Напитки,Отличается низкой вероятностью возникновения побочных эффектов при употреблении.,2003-02-12,2012-06-05,0.84,Delivered
19,Пакеты для семинара,4585,753,Товары для дома,"Отличается высоким содержанием L-карнозина, аминокислоты, полезной для мышц и мозга.",1990-04-05,2010-02-02,2.49,New
20,Каша из дробленной поленты,788,151,Бакалея,"Отличается высоким содержанием калия, необходимого для нормальной работы сердца.",2009-04-10,2027-07-11,4.71,Awaiting Payment
21,Каша из дробленой ржи,7567,965,Бакалея,Помогает поддерживать оптимальный вес и форму тела.,2014-02-07,2020-02-04,2.39,Backorder
22,Пакеты для дня рождения,7172,862,Товары для дома,"Помогает поддерживать нормальный уровень даидзеина, изофлавона, полезного для здоровья женщин во время менопаузы.",1997-04-14,2012-02-18,3.39,Delivered
23,Баклажан,6162,413,Овощи,"Отличается высоким содержанием эллаговой кислоты, вещества, обладающего противораковыми свойствами.",2014-02-03,2023-02-01,2.0,Returned
24,Укроп,5130,122,Овощи,"Отличается высоким содержанием пантотеновой кислоты, необходимой для метаболизма жиров, белков и углеводов.",2007-02-16,2010-02-22,0.94,Returned
25,Горчица зерновая,9506,7,Бакалея,Отличается способностью повышать общий тонус и работоспособность.,2012-10-05,2029-02-16,2.27,Pending
26,Йогурт питьевой,3192,955,Напитки,"Помогает поддерживать нормальный уровень кверцетина, флавоноида, обладающего антиоксидантными и противовоспалительными свойствами.",1997-02-24,2017-06-16,2.23,Cancelled
27,Пятновыводитель,4895,901,Товары для дома,"Отличается высоким содержанием карнитина, необходимого для преобразования жиров в энергию.",2007-03-05,2029-03-04,2.53,Cancelled
28,Кольраби,7911,419,Овощи,Отличается хорошей совместимостью с другими продуктами питания.,2021-02-15,2030-04-09,2.65,Out of Stock
29,Растительное масло кокосовое,7842,348,Бакалея,"Обладает мягким вкусом, который нравится многим потребителям.",2012-03-03,2015-11-04,1.17,Temporarily Unavailable
30,Vittel,6510,390,Напитки,"Отличается высоким содержанием витамина C, необходимого для здоровья кожи и иммунной системы.",2005-03-03,2023-01-07,2.77,Refunded
31,Блюдца,2891,659,Товары для дома,"Отличается высоким содержанием фолиевой кислоты, необходимой для формирования новых клеток.",2020-02-06,2028-05-17,1.26,New
32,Перец болгарский,883,344,Овощи,"Отличается высоким содержанием рутина, флавоноида, укрепляющего сосуды и улучшающего кровообращение.",1990-03-22,2023-01-08,0.96,On Backorder
33,Мандарин,6993,346,Фрукты,"Помогает поддерживать нормальный уровень кемпферола, флавоноида, полезного для здоровья сердца и сосудов.",2020-01-18,2030-03-02,1.19,Pending
34,Батат,6304,324,Овощи,"Помогает поддерживать нормальный уровень аллицина, вещества, обладающего антибактериальными и противогрибковыми свойствами.",2010-04-01,2028-06-07,3.91,Delivered
35,Пакеты для Дня матери,3606,588,Товары для дома,Помогает поддерживать оптимальный вес и форму тела.,2009-09-12,2024-03-10,2.49,Awaiting Payment
36,Эндивий,2207,651,Овощи,"Отличается высоким содержанием биотина, необходимого для здоровья волос, кожи и ногтей.",1991-05-01,2007-10-26,2.17,Available for Pickup
37,Зеленый перец молотый,8732,984,Бакалея,"Универсальный продукт, который можно использовать в приготовлении как сладких, так и соленых блюд.",1992-07-15,2014-03-06,2.1,Sold
38,Ямс,1601,399,Овощи,"Отличается высоким содержанием тиамина, необходимого для нормального функционирования нервной системы.",2014-05-09,2022-03-01,2.34,Cancelled
39,Каша из дробленной пшеничной крупы,6568,2,Бакалея,Помогает сохранять бодрость и активность в течение дня.,1998-09-25,2022-01-04,1.85,Backorder
40,Шпинат,3463,782,Овощи,"Отличается высоким содержанием пробиотиков, улучшающих микрофлору кишечника.",1998-03-05,1999-04-07,4.49,Out of Stock
41,Авокадо,9125,588,Фрукты,"Отличается высоким содержанием эвгенола, вещества, обладающего обезболивающими и антисептическими свойствами.",2013-01-03,2019-02-06,0.77,Pending
42,Каша из манной крупы,2281,227,Бакалея,"Имеет длительный срок хранения, что позволяет всегда иметь его под рукой.",1994-03-16,2009-02-04,3.6,Cancelled
43,Косулятина,2239,890,Мясо,Помогает поддерживать нормальный уровень мочевой кислоты в организме.,2022-01-11,2029-03-03,2.1,New
44,Пельмени,2709,455,Мясо,Является важным компонентом сбалансированного рациона питания.,2009-03-04,2030-02-12,2.29,Sold
45,Козлятина,4964,654,Мясо,"Помогает поддерживать нормальный уровень кемпферола, флавоноида, полезного для здоровья сердца и сосудов.",2021-01-15,2025-01-16,4.22,Backorder
46,Моющее средство для пола,7484,649,Товары для дома,"Может использоваться как основа для приготовления домашних йогуртов, сыров и других молочных продуктов.",2009-04-03,2023-02-12,3.11,Delivered
47,Окорок,6164,659,Мясо,Помогает поддерживать нормальный уровень кислотности желудка.,2018-07-26,2023-01-06,3.93,Backorder
48,Камамбер,3747,34,Молочные продукты,"Помогает поддерживать нормальный уровень глюкагона, гормона, регулирующего уровень глюкозы в крови.",2006-01-13,2022-04-06,3.3,New
49,Виноград,4880,85,Фрукты,Подходит для людей с непереносимостью лактозы благодаря специальной обработке.,1996-04-01,2026-03-11,2.03,On Backorder
50,Конопляные семена,8365,144,Бакалея,Отличается способностью повышать общий тонус и работоспособность.,2015-03-10,2021-02-02,0.46,Temporarily Unavailable
51,Укроп сушеный,5109,670,Бакалея,"Помогает поддерживать нормальный уровень кумаринов, веществ, обладающих антикоагулянтными свойствами.",2009-03-06,2022-09-16,0.8,Returned
52,Репа,9352,699,Овощи,"Отличается высоким содержанием холина, необходимого для здоровья мозга и памяти.",2005-01-01,2029-09-07,2.96,In Stock
53,Моцарелла,4034,365,Молочные продукты,"Богат кальцием, необходимым для укрепления костей и зубов.",2021-02-11,2023-04-11,1.4,Delivered
54,Ананас,2732,613,Фрукты,"Отличается низким содержанием лактозы, что делает его доступным для людей с ее непереносимостью.",2022-07-02,2028-01-17,3.61,Awaiting Payment
55,Сметана,3955,500,Молочные продукты,"Отличается высоким содержанием антоцианов, пигментов, обладающих антиоксидантными и противовоспалительными свойствами.",2015-01-04,2019-04-08,1.25,Awaiting Review
56,Серебряный ключ,5945,561,Напитки,"Отличается высоким содержанием ниацина, необходимого для здоровья кожи и пищеварения.",1997-02-19,2005-05-06,2.82,Out of Stock
57,Грейпфрут,6184,302,Фрукты,Помогает укреплять стенки сосудов и улучшать кровообращение.,2012-05-03,2015-01-07,4.34,Delivered
58,Редис,9271,159,Овощи,Помогает предотвратить дефицит витаминов и минералов в организме.,1990-01-07,2016-04-05,4.08,On Backorder
59,Варенье,2226,215,Бакалея,"Подходит для приготовления как горячих, так и холодных блюд.",1997-05-18,2017-04-01,4.37,Out of Stock
60,Амарант семена,340,149,Бакалея,Прошел независимые лабораторные исследования и получил положительные отзывы экспертов.,2012-03-01,2017-01-02,2.86,Cancelled
61,Каша из проса,2505,437,Бакалея,"Отличается высоким содержанием хрома, необходимого для регуляции уровня сахара в крови.",2014-10-07,2028-05-11,3.85,Pending
62,Форосская,7572,554,Напитки,"Натуральный продукт, богатый витаминами и минералами, необходимыми для поддержания здоровья.",1994-06-09,1999-04-01,0.33,Delivered
63,Крыжовник,5519,676,Фрукты,Помогает снизить риск развития сердечно-сосудистых заболеваний.,2022-04-18,2029-02-16,0.06,Out of Stock
64,Сэндвичи с ветчиной,1509,969,Мясо,Идеально подходит для употребления в чистом виде или в составе различных блюд и напитков.,2000-05-08,2007-07-01,1.25,Sold
65,Какао,9178,537,Напитки,Отличается гипоаллергенностью и безопасностью для большинства людей.,2006-07-03,2014-06-20,2.44,Refunded
66,Айва,4842,160,Фрукты,"Отличается высоким содержанием холина, необходимого для здоровья мозга и памяти.",2008-03-20,2020-02-10,2.53,Refunded
67,Оленина,4365,7,Мясо,"Помогает поддерживать нормальный уровень генистеина, изофлавона, полезного для здоровья костей и профилактики рака.",2017-01-02,2030-01-01,3.98,Backorder
68,Чечевица,5131,625,Овощи,Подходит для людей с чувствительным пищеварением.,2021-01-09,2022-02-09,1.55,New
69,Верблюжье молоко,5013,912,Молочные продукты,"Подходит для людей всех возрастов, включая детей и пожилых.",2001-03-01,2029-01-08,3.29,Shipping
70,Белый перец молотый,3475,608,Бакалея,"Помогает поддерживать нормальный уровень даидзеина, изофлавона, полезного для здоровья женщин во время менопаузы.",1992-01-01,2004-01-15,0.38,In Stock
71,Фахитас с мясом,7366,183,Мясо,"Отличается высоким содержанием L-карнозина, аминокислоты, полезной для мышц и мозга.",2009-09-03,2017-01-06,2.47,Available for Pickup
72,Кольраби,1645,313,Овощи,Подходит для людей с различными пищевыми предпочтениями и аллергиями.,2014-01-05,2017-02-04,1.43,On Backorder
73,Карамбола,5827,772,Фрукты,Помогает поддерживать нормальный уровень глюкозы в крови.,1994-02-15,2005-08-01,0.99,Cancelled
74,Щавель,3929,561,Овощи,Отличается высокой питательностью и способен быстро утолить голод.,2009-06-11,2012-11-04,0.6,Temporarily Unavailable
75,Мортаделла,5222,461,Мясо,Помогает поддерживать нормальный уровень глюкозы в крови.,2000-02-07,2001-05-09,3.58,Shipping
76,Ростовская-на-Дону,5688,596,Напитки,"Отличается высоким содержанием хлорогеновых кислот, веществ, способствующих снижению веса и контролю уровня сахара в крови.",2013-01-17,2022-07-01,2.04,Backorder
77,Щелковская,4263,663,Напитки,"Помогает поддерживать нормальный уровень 5-гидрокситриптофана (5-HTP), предшественника серотонина.",2001-02-18,2007-03-06,1.2,New
78,Простокваша,359,790,Молочные продукты,"Легко усваивается организмом, обеспечивая быстрое насыщение и энергию.",2013-04-01,2025-03-01,3.99,On Backorder
79,Зира молотая,6361,386,Бакалея,"Помогает поддерживать нормальный уровень цистеина, аминокислоты, участвующей в синтезе глутатиона.",2013-02-08,2017-01-15,0.69,Out of Stock
80,Яблоко,8409,22,Фрукты,Помогает поддерживать мышечную массу и улучшает спортивные результаты.,2011-02-15,2024-09-05,0.29,Delivered
81,Щавель,6801,110,Овощи,"Отличается высоким содержанием мирицетина, флавоноида, обладающего антиоксидантными и противовоспалительными свойствами.",1991-05-03,2016-02-06,4.78,Shipping
82,Отбеливатель,8409,208,Товары для дома,Высокое содержание белка обеспечивает длительное чувство сытости и способствует поддержанию мышечной массы.,2003-01-11,2012-03-09,4.06,Sold
83,Чабрец сушеный,4808,184,Бакалея,"Помогает поддерживать нормальный уровень апигенина, флавоноида, полезного для здоровья мозга и иммунной системы.",2016-01-01,2028-01-10,0.61,Shipping
84,Карачинская,5914,280,Напитки,"Отличается высоким содержанием альфа-липоевой кислоты, мощного антиоксиданта.",1990-03-05,2020-11-05,0.59,Temporarily Unavailable
85,Авокадо,3212,623,Фрукты,Отличается универсальностью применения в кулинарии и пищевой промышленности.,1991-07-20,1996-04-05,3.82,New
86,Фета,9111,902,Молочные продукты,"Обеспечивает организм необходимыми жирами, белками и углеводами.",1991-06-13,2001-02-01,2.52,Awaiting Review
87,Сметана,5803,210,Молочные продукты,Помогает улучшать качество сна и снижать уровень тревожности.,2020-03-07,2028-08-03,4.79,Delivered
88,Перец болгарский,9939,123,Овощи,"Помогает поддерживать нормальный уровень сапонинов, веществ, способствующих снижению уровня холестерина.",2011-05-04,2016-05-10,2.18,In Stock
89,Каша из поленты,256,890,Бакалея,Помогает поддерживать нормальный обмен веществ и метаболизм.,2012-05-05,2030-02-04,0.9,In Stock
90,Пакеты для рыбалки,5722,810,Товары для дома,"Отличается широким ассортиментом вкусов и форматов, удовлетворяя потребности разных категорий потребителей.",2022-06-05,2028-04-09,1.26,Backorder
91,Гамбургеры,6874,30,Мясо,"Помогает поддерживать нормальный уровень зеаксантина, каротиноида, важного для здоровья глаз.",2019-09-18,2028-02-12,3.26,Temporarily Unavailable
92,Пакеты бумажные,4427,448,Товары для дома,"Отличается высоким содержанием хлорогеновых кислот, веществ, способствующих снижению веса и контролю уровня сахара в крови.",2006-05-05,2017-02-06,0.82,Refunded
93,Гауда,1891,156,Молочные продукты,"Отличается высоким содержанием генистеина, изофлавона, полезного для здоровья костей и профилактики рака.",2020-02-01,2026-09-16,4.9,Awaiting Review
94,Лук-порей,7534,341,Овощи,"Отличается высоким содержанием меди, необходимой для синтеза коллагена и эластина.",2001-02-08,2021-07-15,3.73,Temporarily Unavailable
95,Мягкие игрушки,5626,235,Товары для дома,Помогает поддерживать здоровье глаз и зрение благодаря содержанию витамина A.,2003-02-25,2026-09-12,4.64,On Backorder
96,Пакеты для школы,9362,902,Товары для дома,"Отличается широким ассортиментом вкусов и форматов, удовлетворяя потребности разных категорий потребителей.",2010-03-19,2029-04-10,0.37,On Backorder
97,Кумыс,9784,223,Напитки,Помогает поддерживать здоровый цвет лица и упругость кожи.,1995-02-14,2008-04-02,4.66,Temporarily Unavailable
98,Пастернак,3010,108,Овощи,"Отличается высоким содержанием меди, необходимой для синтеза коллагена и эластина.",1994-11-01,2012-09-16,3.66,Backorder
99,Ливерная колбаса,8360,203,Мясо,Прошел тестирование на отсутствие ГМО и вредных химических соединений.,2001-03-11,2030-03-07,1.03,Returned
100,Робот-пылесос,3361,835,Товары для дома,"Обладает мягким вкусом, который нравится многим потребителям.",1996-02-22,2021-03-02,3.82,Delivered
101,Сосиски,291,141,Мясо,Может использоваться в косметических процедурах для увлажнения кожи.,2019-02-06,2027-01-04,4.25,Sold
102,Какао-порошок,5270,973,Бакалея,Может использоваться в детском питании начиная с раннего возраста.,1995-03-06,2023-08-02,0.67,Backorder
103,Укроп,5389,741,Овощи,"Помогает поддерживать нормальный уровень мелатонина, гормона сна.",2013-10-06,2030-05-02,2.81,Awaiting Review
104,Топинамбур,3657,975,Овощи,"Отличается высоким содержанием калия, необходимого для нормальной работы сердца.",2004-05-15,2027-02-14,0.07,New
105,Фенхель,1295,172,Овощи,Рекомендуется для ежедневного потребления в умеренных количествах.,2010-03-11,2016-07-07,3.55,Shipping
106,Батат,9333,203,Овощи,"Богат кальцием, необходимым для укрепления костей и зубов.",2002-09-12,2024-05-12,3.82,Awaiting Payment
107,Каша из дробленного риса,3835,393,Бакалея,Помогает улучшить когнитивные функции и память.,2009-02-10,2025-09-11,4.98,Pending
108,Вяленое мясо,8070,207,Мясо,Отличается легкостью в переваривании и усвоении организмом.,2007-01-13,2017-01-21,1.6,Out of Stock
109,Стейк,4788,505,Мясо,"Является источником витаминов группы B, необходимых для энергетического обмена.",2003-05-02,2028-01-08,0.4,On Backorder
110,7UP,6550,357,Напитки,Помогает поддерживать нормальный уровень триглицеридов в крови.,1995-04-07,2018-01-12,4.85,In Stock
111,Пакеты для Рождества,9252,802,Товары для дома,"Отличается высоким содержанием холина, необходимого для здоровья мозга и памяти.",1994-01-01,2001-01-21,0.07,Awaiting Review
112,Каша из дробленной перловой крупы,404,478,Бакалея,Помогает поддерживать нормальный уровень холестерина в крови.,2011-01-14,2018-02-16,2.44,Delivered
113,Конфи,1558,958,Мясо,Помогает улучшить работу мозга и повысить концентрацию внимания.,2000-10-05,2030-03-14,0.79,Pending
114,Катык,7656,609,Молочные продукты,Подходит для использования в специализированных диетах и лечебных программах.,2008-12-01,2014-02-26,2.03,Refunded
115,Чувашская,4452,362,Напитки,"Легко усваивается организмом, обеспечивая быстрое насыщение и энергию.",2019-07-05,2021-04-01,1.87,Temporarily Unavailable
116,Пушкинская,1011,777,Напитки,"Легко усваивается организмом, обеспечивая быстрое насыщение и энергию.",2002-01-14,2014-01-25,2.94,Available for Pickup
117,Каша из перловки,5710,467,Бакалея,"Помогает поддерживать нормальный уровень 5-гидрокситриптофана (5-HTP), предшественника серотонина.",1994-02-10,2028-01-05,0.88,Shipping
118,Пакеты для Рождества,5533,288,Товары для дома,"Отличается устойчивостью к температурным изменениям, что облегчает хранение.",2005-09-09,2017-04-06,1.3,New
119,Манты,2447,160,Мясо,Прошел проверку на соответствие экологическим нормам и стандартам.,2005-01-01,2005-08-11,3.4,Out of Stock
120,Брюква,8560,190,Овощи,Прошел строгий контроль качества на всех этапах производства.,2012-02-04,2026-04-09,3.49,Pending
121,Клюква,4901,228,Фрукты,"Отличается высоким содержанием витамина C, необходимого для здоровья кожи и иммунной системы.",1995-01-02,1999-03-08,3.42,Returned
122,Айран,4673,448,Напитки,Подходит для людей с непереносимостью лактозы благодаря специальной обработке.,2018-01-09,2026-04-12,0.02,Sold
123,Мыло твердое,3877,521,Товары для дома,Отличается удобством использования и экономичностью в расходе.,2008-01-03,2008-01-10,3.01,In Stock
124,Томатная паста,2803,516,Бакалея,Высокое содержание белка обеспечивает длительное чувство сытости и способствует поддержанию мышечной массы.,2003-04-06,2012-02-14,3.81,Sold
125,Миринда,348,325,Напитки,"Помогает поддерживать нормальный уровень апигенина, флавоноида, полезного для здоровья мозга и иммунной системы.",2007-01-02,2013-01-01,1.59,Available for Pickup
126,Подносы,5816,743,Товары для дома,"Помогает поддерживать нормальный уровень глутатиона, главного антиоксиданта организма.",1998-04-11,2004-04-07,1.82,New
127,Вареники с мясом,4697,722,Мясо,Помогает поддерживать нормальный обмен веществ и метаболизм.,1996-04-14,2028-09-03,1.63,Awaiting Review
128,Верблюжье молоко,457,831,Молочные продукты,"Отличается высоким содержанием даидзеина, изофлавона, полезного для здоровья женщин во время менопаузы.",1999-01-26,2017-03-10,0.45,In Stock
129,Апельсин,5154,653,Фрукты,Помогает поддерживать нормальный уровень гомоцистеина в крови.,2008-08-05,2026-03-06,0.91,Awaiting Review
130,Кабанятина,3629,218,Мясо,Отличается низкой вероятностью возникновения побочных эффектов при употреблении.,2003-09-05,2005-02-07,2.76,Out of Stock
131,Рис,1908,575,Бакалея,Помогает поддерживать нормальный уровень холестерина в крови.,2011-11-03,2029-03-05,3.2,Temporarily Unavailable
132,Простокваша,4517,50,Молочные продукты,Может быть использован в выпечке для придания ей особой пышности и аромата.,2009-01-23,2014-05-03,3.64,Sold
133,Козлятина,7522,260,Мясо,"Отличается высоким содержанием лютеолина, флавоноида, обладающего противовоспалительными свойствами.",2016-01-26,2025-01-04,2.11,Returned
134,Гусиные потроха,147,777,Мясо,Способствует укреплению иммунной системы благодаря содержанию пробиотиков.,2014-07-14,2020-06-13,0.64,Backorder
135,Форосская,7125,759,Напитки,"Доступен в различных упаковках и форматах, что упрощает выбор подходящего варианта.",1999-07-12,2007-09-01,0.19,Temporarily Unavailable
136,Тартар,8917,178,Мясо,Прошел независимые лабораторные исследования и получил положительные отзывы экспертов.,2002-02-23,2025-05-08,1.3,Sold
137,Мандарин,4565,304,Фрукты,"Производится из высококачественного сырья, что гарантирует его безопасность и пользу для здоровья.",2015-05-02,2027-08-12,3.33,Out of Stock
138,Сочи,3744,433,Напитки,Способствует улучшению работы пищеварительной системы.,2015-02-06,2026-01-07,2.57,Available for Pickup
139,Ананас,8331,39,Фрукты,"Помогает поддерживать нормальный уровень гамма-аминомасляной кислоты (GABA), успокаивающего нейромедиатора.",1995-01-04,2019-02-04,1.06,Sold
140,Одеяла,8435,521,Товары для дома,Помогает поддерживать нормальный уровень pH в организме.,1995-08-14,2000-02-08,3.88,Cancelled
141,Брокколи,9405,487,Овощи,"Отличается высоким содержанием витамина C, необходимого для здоровья кожи и иммунной системы.",1999-01-01,2028-01-15,4.66,Refunded
142,Засоленное мясо,3229,786,Мясо,Помогает предотвратить развитие остеопороза благодаря высокому содержанию кальция.,2012-06-01,2026-02-07,4.69,Temporarily Unavailable
143,Сахар,8278,731,Бакалея,"Отличается устойчивостью к температурным изменениям, что облегчает хранение.",1991-01-13,1993-05-28,4.8,New
144,Огурец,8196,468,Овощи,Отличается высокой питательной ценностью и помогает поддерживать здоровый образ жизни.,1997-02-03,2007-01-12,3.46,On Backorder
145,Освежитель воздуха,8555,811,Товары для дома,"Отличается высоким содержанием мирицетина, флавоноида, обладающего антиоксидантными и противовоспалительными свойствами.",1994-01-09,2007-01-10,1.28,In Stock
146,Тверская,6514,442,Напитки,"Отличается высоким содержанием рутина, флавоноида, укрепляющего сосуды и улучшающего кровообращение.",2021-11-06,2022-01-03,4.93,Refunded
147,Бекон,1157,741,Мясо,"Отличается высоким содержанием оротовой кислоты, необходимой для синтеза ДНК и РНК.",2000-03-15,2020-05-07,1.31,Cancelled
148,Шахтинская,8680,455,Напитки,Отличается высоким уровнем биологической доступности питательных веществ.,2007-02-19,2017-04-01,2.82,Awaiting Payment
149,Кружки,4837,537,Товары для дома,Помогает поддерживать нормальный уровень кислотности желудка.,1998-02-10,2015-01-04,0.44,Shipping
150,Корица молотая,7368,361,Бакалея,Способствует укреплению иммунной системы благодаря содержанию пробиотиков.,2004-01-02,2017-05-12,0.74,Refunded
151,Пакеты для бассейна,3722,791,Товары для дома,"Отличается высоким содержанием цинка, необходимого для здоровой иммунной системы.",2011-03-24,2023-03-25,0.94,Awaiting Review
152,Чизбургеры,6844,501,Мясо,"Отличается высоким содержанием витамина E, необходимого для защиты клеточных мембран.",2018-08-27,2028-03-06,3.82,Awaiting Review
153,Творог,5998,708,Молочные продукты,Подходит для людей с непереносимостью лактозы благодаря специальной обработке.,2009-05-17,2012-03-01,3.45,Sold
154,Донер-кебаб,2084,520,Мясо,Подходит для людей с непереносимостью лактозы благодаря специальной обработке.,1991-01-09,2009-06-23,3.2,New
155,Полотенца кухонные,2094,934,Товары для дома,Является важным компонентом сбалансированного рациона питания.,2008-05-18,2029-06-01,2.38,Awaiting Review
156,Геленджикская,5345,453,Напитки,Отличается легкостью в переваривании и усвоении организмом.,2018-03-18,2027-01-13,0.58,In Stock
157,Соус соевый,1190,33,Бакалея,Отличается простотой в использовании и хранении.,2012-09-04,2027-01-06,2.3,Delivered
158,Брокколи,4940,180,Овощи,Подходит для использования в рационе людей с повышенным давлением.,2003-02-01,2027-03-20,3.57,Backorder
159,Балаковская,7659,275,Напитки,"Отличается низким содержанием лактозы, что делает его доступным для людей с ее непереносимостью.",2015-02-21,2020-01-17,1.39,Backorder
160,Донат магний,708,540,Напитки,Высокое содержание белка обеспечивает длительное чувство сытости и способствует поддержанию мышечной массы.,1996-01-04,2016-04-06,2.64,Temporarily Unavailable
161,Пакеты для хранения одежды,6398,909,Товары для дома,"Помогает поддерживать нормальный уровень нарингина, флавоноида, полезного для снижения уровня холестерина и улучшения пищеварения.",2003-05-03,2029-01-22,1.18,Available for Pickup
162,Ложки чайные,2162,484,Товары для дома,"Отличается высоким содержанием карнитина, необходимого для преобразования жиров в энергию.",1999-08-17,2006-05-21,0.39,On Backorder
163,Гранат,9159,961,Фрукты,Способствует улучшению работы пищеварительной системы.,2001-10-11,2027-03-01,2.15,Out of Stock
164,Чоризо,769,789,Мясо,"Помогает поддерживать нормальный уровень кемпферола, флавоноида, полезного для здоровья сердца и сосудов.",2003-07-19,2028-06-06,4.41,New
165,Груша,207,371,Фрукты,Отличается удобством использования и экономичностью в расходе.,2007-05-10,2029-03-01,4.9,Awaiting Review
166,Бифштекс,2312,841,Мясо,Может быть использован в выпечке для придания ей особой пышности и аромата.,1995-01-08,2021-01-05,1.99,Shipping
167,Коломенская,4783,746,Напитки,Прошел проверку на соответствие экологическим нормам и стандартам.,2020-01-15,2024-08-01,3.84,Returned
168,Грудинка копченая,9172,517,Мясо,Прошел тщательный отбор сырья и контроль на каждом этапе производства.,2000-03-13,2000-04-04,1.35,Awaiting Review
169,Яблоко,4952,152,Фрукты,"Отличается длительным сроком годности, что позволяет делать запасы.",2008-06-01,2015-11-01,3.58,Cancelled
170,Сэндвичи с ветчиной,9543,310,Мясо,"Помогает поддерживать нормальный уровень дигидротестостерона, гормона, отвечающего за половое созревание у мужчин.",2004-03-08,2030-01-01,2.65,Awaiting Payment
171,Томаты в собственном соку,8241,31,Бакалея,"Помогает поддерживать нормальный уровень индолов, веществ, способных защищать от рака.",1993-02-01,2003-02-20,2.62,On Backorder
172,Репа,3041,962,Овощи,Помогает поддерживать нормальный уровень pH в организме.,1999-01-06,2020-04-08,0.56,On Backorder
173,Прошутто,9984,90,Мясо,"Является источником незаменимых аминокислот, необходимых для построения мышц.",2005-11-04,2030-03-15,3.4,Available for Pickup
